year,month,FruitVegetableJuice_volume,CarbonatedBeverage_volume,SportsDrink_volume,CoffeeDrink_volume,TeaDrink_volume,FruitVegetableJuice_value,CarbonatedBeverage_value,SportsDrink_value,CoffeeDrink_value,TeaDrink_value,TotalIndex,SoftDrink,TotalSalary,DisposableIncome,AvgHouseholdDisposableIncome,LowestQuintileIncome,SecondLowestQuintileIncome,MiddleQuintileIncome,SecondHighestQuintileIncome,HighestQuintileIncome,FruitVegetableJuice_price,CarbonatedBeverage_price,SportsDrink_price,CoffeeDrink_price,TeaDrink_price
1982,1,11689,35335,NA,771,NA,257570,625321,NA,32961,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,22.03524681,17.69692939,NA,42.75097276,NA
1982,2,17865,31819,NA,834,NA,367004,608245,NA,35669,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,20.543185,19.11577988,NA,42.76858513,NA
1982,3,20521,29602,NA,927,NA,446628,584401,NA,40186,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,21.76443643,19.74194311,NA,43.35059331,NA
1982,4,18480,34934,NA,888,NA,388983,702081,NA,38380,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,21.04886364,20.09735501,NA,43.22072072,NA
1982,5,15549,34934,NA,890,NA,472986,734256,NA,38380,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,30.41906232,21.01837751,NA,43.12359551,NA
1982,6,11862,38393,NA,858,NA,339553,801570,NA,37027,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,28.62527398,20.87802464,NA,43.15501166,NA
1982,7,12959,50853,NA,878,NA,386639,1034076,NA,37929,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,29.8355583,20.33461153,NA,43.19931663,NA
1982,8,15419,50318,NA,857,NA,451709,1095652,NA,37027,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,29.29560931,21.77455384,NA,43.20536756,NA
1982,9,17425,52133,NA,877,NA,498898,1123395,NA,37929,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,28.63116212,21.54863522,NA,43.24857469,NA
1982,10,12783,40094,NA,856,NA,380935,931688,NA,37027,NA,NA,NA,NA,10915,275250,119603,189876,241666,312289,512814,29.80012517,23.23759166,NA,43.25584112,NA
