,"國民所得統計常用資料",
,,,,,,,,,""
"統計期","期中人口(人)","平均匯率(元/美元)","經濟成長率(%)","國內生產毛額GDP(名目值，百萬元)","平均每人GDP(名目值，元)","國民所得毛額GNI(名目值，百萬元)","平均每人GNI(名目值，元)","國民所得(名目值，百萬元)","平均每人所得(名目值，元)"
"71年第1季",18227453,37.91,4.52,461774,25316,463759,25425,412572,22620
"71年第2季",18294665,38.78,5.20,488234,26668,484893,26486,433689,23690
"71年第3季",18371909,39.65,4.72,489504,26625,491046,26709,443908,24145
"71年第4季",18466206,40.15,4.79,498511,26977,497643,26929,451347,24425
"72年第1季",18547823,39.97,4.27,495361,26707,501156,27020,447614,24133
"72年第2季",18614026,40.03,8.39,548158,29449,543255,29185,484249,26015
"72年第3季",18683238,40.12,11.29,554774,29694,558046,29869,499984,26761
"72年第4季",18754456,40.19,11.78,571153,30455,570245,30405,514018,27409
"73年第1季",18816526,40.15,11.89,562116,29850,570801,30312,514412,27317
"73年第2季",18872694,39.77,11.67,619704,32810,620390,32847,555029,29386
"73年第3季",18939896,39.21,9.75,620474,32734,632563,33372,572745,30217
"73年第4季",19023146,39.36,7.26,615946,32353,624461,32800,563246,29585
"74年第1季",19095232,39.30,5.67,598221,31313,614068,32142,558087,29212
"74年第2季",19145377,39.82,4.24,641515,33492,647507,33804,574140,29973
"74年第3季",19203545,40.31,3.57,638890,33253,653971,34038,593439,30887
"74年第4季",19276757,39.99,5.80,656430,34035,666624,34564,600944,31159
"75年第1季",19336243,39.24,10.18,683623,35353,703812,36398,651644,33700
"75年第2季",19382372,38.38,9.55,734284,37883,750256,38707,668993,34515
"75年第3季",19431510,37.47,12.32,761436,39185,779707,40125,712881,36686
"75年第4季",19483657,36.29,13.79,786105,40347,808598,41501,739203,37938
"76年第1季",19528807,34.98,13.12,785754,40216,808458,41377,748007,38283
"76年第2季",19572927,32.39,14.25,831502,42461,847710,43288,761118,38865
"76年第3季",19627073,30.53,13.61,861649,43879,879296,44777,805792,41033
"76年第4季",19692249,29.58,10.25,866030,43956,882792,44807,793538,40276
"77年第1季",19744456,28.61,8.71,846395,42840,876012,44339,812652,41130
"77年第2季",19788571,28.68,7.19,887657,44829,910181,45966,827411,41785
"77年第3季",19846722,28.77,7.90,927086,46683,947350,47702,865263,43567
