,"戶數五等分位組之平均每戶可支配所得、消費支出及儲蓄",
,,,,,,,""
"統計期","可支配所得(億元)","平均每戶可支配所得(元)","可支配所得按戶數五等分位組-最低所得組(元)","可支配所得按戶數五等分位組-次低所得組(元)","可支配所得按戶數五等分位組-中間所得組(元)","可支配所得按戶數五等分位組-次高所得組(元)","可支配所得按戶數五等分位組-最高所得組(元)"
"71年",10915,275250,119603,189876,241666,312289,512814
"72年",12144,295887,127440,201812,258505,336226,555450
"73年",13194,314245,133434,215118,276900,358783,586988
"74年",13742,320492,134105,217705,280779,366676,603196
"75年",15128,341728,141750,230893,297011,386991,651995
"76年",16763,366487,148553,247423,321168,418237,697051
"77年",19437,410483,161874,275655,360257,469525,785101
"78年",22767,464994,179029,313864,411978,536296,883807
"79年",26145,520147,193685,343785,455426,603914,1003925
"80年",30302,587242,227816,389205,511410,674451,1133327
"81年",33823,639696,235752,423392,560466,742466,1236407
"82年",39444,727879,259380,477408,642257,853213,1407138
"83年",42855,769755,280259,499105,669983,892016,1507414
"84年",46499,811338,296166,525749,704713,948484,1581581
"85年",48825,826378,298443,537241,723067,966103,1607034
"86年",52706,863427,312458,557429,753919,1003815,1689517
"87年",54775,873175,310865,560766,765375,1014770,1714097
"88年",57176,889053,317001,573853,778496,1031669,1744245
"89年",58734,891445,315172,571355,778556,1043508,1748633
"90年",58468,868651,279404,524766,740054,1013478,1785550
"91年",59907,875919,292113,538584,743888,1005274,1799733
"92年",61377,881662,296297,545465,745231,1021325,1799992
"93年",63131,891249,297305,555452,775719,1035972,1791796
"94年",64471,894574,297694,556117,779044,1043131,1796884
"95年",66729,913092,304274,564865,795427,1073507,1827387
"96年",68499,923874,312145,571128,799418,1069885,1866791
"97年",68934,913687,303517,564893,796225,1068804,1834994
"98年",68239,887605,282260,544532,771572,1049242,1790418
"99年",69733,889353,288553,542741,773468,1054693,1787312
"100年",72274,907988,296352,546903,786324,1083008,1827354
"101年",74601,923584,301362,566814,810075,1093553,1846116
"102年",77182,942208,309459,583287,823937,1111674,1882680
"103年",79323,956849,317144,587625,830741,1128799,1919937
"104年",80921,964895,320312,587763,836842,1139842,1939718
"105年",84000,993115,329400,616604,861413,1153992,2004165
"106年",87213,1018941,338278,627855,884183,1191537,2052850
"107年",89569,1036304,344948,637775,888498,1211270,2099030
"108年",92563,1059731,350189,645272,911571,1253751,2137871
"109年",95327,1079648,354959,657313,929551,1280022,2176394
"110年",97276,1090554,358594,662440,935016,1291029,2205691
"111年",99421,1108569,364876,672906,954383,1306283,2244401
"112年",103668,1136708,375828,687207,976721,1341995,2301788


"註解："
"1.平均每戶儲蓄率(x欄)建議刪除，因重要指標已列。"
"2.53至59年間為每2年辦理調查，53至65年部分項目無資料，係因無原始資料無法再統計。"
""
