"統計期","總指數","15.非酒精性飲料及材料",
"80年","65.81","88.43",
"80年1月","64.70","88.64",
"80年2月","65.09","88.65",
"80年3月","64.77","88.73",
"80年4月","65.19","88.78",
"80年5月","65.41","88.59",
"80年6月","65.57","88.63",
"80年7月","66.02","88.37",
"80年8月","66.17","88.43",
"80年9月","66.27","88.67",
"80年10月","66.92","88.65",
"80年11月","67.12","87.54",
"80年12月","66.48","87.49",
"81年","68.75","87.90",
"81年1月","67.14","87.64",
"81年2月","67.73","87.73",
"81年3月","67.82","87.74",
"81年4月","68.92","87.77",
"81年5月","69.15","87.89",
"81年6月","68.96","87.86",
"81年7月","68.46","88.10",
"81年8月","68.15","88.24",
"81年9月","70.35","88.21",
"81年10月","70.32","87.80",
"81年11月","69.20","87.52",
"81年12月","68.75","88.24",
"82年","70.77","88.83",
"82年1月","69.59","88.24",
"82年2月","69.80","88.46",
"82年3月","70.02","89.11",
"82年4月","70.83","89.04",
"82年5月","70.59","89.07",
"82年6月","71.96","89.18",
"82年7月","70.71","88.94",
"82年8月","70.42","89.02",
"82年9月","70.87","88.77",
"82年10月","71.18","88.63",
"82年11月","71.34","88.70",
"82年12月","71.93","88.76",
"83年","73.67","89.40",
"83年1月","71.61","89.00",
"83年2月","72.54","88.96",
"83年3月","72.34","88.67",
"83年4月","73.00","89.30",
"83年5月","73.68","89.36",
"83年6月","73.49","89.28",
"83年7月","73.65","89.45",
"83年8月","75.38","89.25",
"83年9月","75.61","89.37",
"83年10月","74.79","89.64",
"83年11月","74.11","90.18",
"83年12月","73.84","90.31",
"84年","76.37","92.05",
"84年1月","75.36","90.67",
"84年2月","75.04","90.75",
"84年3月","75.14","91.63",
"84年4月","76.24","92.79",
"84年5月","76.10","92.55",
"84年6月","76.92","92.72",
"84年7月","76.47","92.91",
"84年8月","76.67","92.72",
"84年9月","77.13","92.40",
"84年10月","76.93","91.89",
"84年11月","77.24","91.81",
"84年12月","77.21","91.72",
"85年","78.72","92.26",
"85年1月","77.09","92.01",
"85年2月","77.85","92.26",
"85年3月","77.40","92.30",
"85年4月","78.39","92.32",
"85年5月","78.30","92.05",
"85年6月","78.76","92.12",
"85年7月","77.59","92.14",
"85年8月","80.54","92.24",
"85年9月","80.09","92.43",
"85年10月","79.77","92.37",
"85年11月","79.71","92.36",
"85年12月","79.16","92.56",
"86年","79.43","92.55",
"86年1月","78.61","92.41",
"86年2月","79.46","92.43",
"86年3月","78.25","92.25",
"86年4月","78.78","92.59",
"86年5月","78.89","92.13",
"86年6月","80.20","92.77",
"86年7月","80.16","92.66",
"86年8月","80.07","92.93",
"86年9月","80.60","92.68",
"86年10月","79.51","92.67",
"86年11月","79.30","92.46",
"86年12月","79.37","92.58",
"87年","80.77","92.93",
"87年1月","80.18","92.18",
"87年2月","79.69","92.33",
"87年3月","80.18","92.84",
"87年4月","80.45","92.75",
"87年5月","80.20","92.78",
"87年6月","81.36","92.91",
"87年7月","80.83","93.03",
"87年8月","80.43","92.56",
"87年9月","80.92","93.31",
"87年10月","81.56","93.66",
"87年11月","82.40","93.44",
"87年12月","81.05","93.32",
"88年","80.91","93.04",
"88年1月","80.50","93.26",
"88年2月","81.36","92.61",
"88年3月","79.81","93.10",
"88年4月","80.38","93.22",
"88年5月","80.60","92.81",
"88年6月","80.67","92.79",
"88年7月","80.16","93.11",
"88年8月","81.35","93.02",
"88年9月","81.39","93.50",
"88年10月","81.90","92.98",
"88年11月","81.66","93.08",
"88年12月","81.17","93.04",
"89年","81.92","92.23",
"89年1月","80.91","92.34",
"89年2月","82.11","91.86",
"89年3月","80.70","92.93",
"89年4月","81.37","93.18",
"89年5月","81.88","92.52",
"89年6月","81.77","92.57",
"89年7月","81.32","92.15",
"89年8月","81.57","92.58",
"89年9月","82.71","91.71",
"89年10月","82.73","91.96",
"89年11月","83.50","91.68",
"89年12月","82.50","91.33",
"90年","81.92","91.69",
"90年1月","82.82","90.56",
"90年2月","81.27","92.14",
"90年3月","81.05","92.39",
"90年4月","81.72","92.35",
"90年5月","81.70","92.10",
"90年6月","81.65","91.76",
"90年7月","81.40","91.20",
"90年8月","81.94","91.86",
"90年9月","82.29","91.61",
"90年10月","83.54","91.36",
"90年11月","82.55","91.40",
"90年12月","81.11","91.55",
"91年","81.76","91.42",
"91年1月","81.43","91.80",
"91年2月","82.42","91.52",
"91年3月","81.06","91.53",
"91年4月","81.89","91.40",
"91年5月","81.49","91.72",
"91年6月","81.74","91.70",
"91年7月","81.75","91.49",
"91年8月","81.72","91.14",
"91年9月","81.66","91.27",
"91年10月","82.12","91.19",
"91年11月","82.09","91.35",
"91年12月","81.74","90.90",
"92年","81.53","90.93",
"92年1月","82.31","90.92",
"92年2月","81.17","91.26",
"92年3月","80.91","91.94",
"92年4月","81.79","91.93",
"92年5月","81.75","90.73",
"92年6月","81.28","89.56",
"92年7月","80.94","90.51",
"92年8月","81.24","90.50",
"92年9月","81.49","90.01",
"92年10月","82.07","91.86",
"92年11月","81.71","91.42",
"92年12月","81.69","90.49",
"93年","82.84","91.26",
"93年1月","82.32","90.77",
"93年2月","81.69","91.51",
"93年3月","81.63","91.27",
"93年4月","82.57","91.38",
"93年5月","82.49","91.14",
"93年6月","82.69","90.78",
"93年7月","83.63","91.64",
"93年8月","83.31","91.77",
"93年9月","83.76","90.86",
"93年10月","84.03","91.45",
"93年11月","82.95","91.08",
"93年12月","83.01","91.51",
"94年","84.75","90.57",
"94年1月","82.72","90.71",
"94年2月","83.27","90.54",
"94年3月","83.51","91.19",
"94年4月","83.93","91.20",
"94年5月","84.39","90.61",
"94年6月","84.66","90.69",
"94年7月","85.65","90.54",
"94年8月","86.28","90.29",
"94年9月","86.41","89.78",
"94年10月","86.34","90.83",
"94年11月","85.03","89.91",
"94年12月","84.84","90.52",
"95年","85.26","89.41",
"95年1月","84.94","88.44",
"95年2月","84.09","89.90",
"95年3月","83.86","89.41",
"95年4月","84.96","89.15",
"95年5月","85.73","90.39",
"95年6月","86.13","89.12",
"95年7月","86.32","90.06",
"95年8月","85.80","89.62",
"95年9月","85.33","89.79",
"95年10月","85.31","88.68",
"95年11月","85.24","89.54",
"95年12月","85.42","88.77",
"96年","86.79","89.64",
"96年1月","85.24","89.24",
"96年2月","85.56","89.53",
"96年3月","84.56","89.94",
"96年4月","85.54","89.80",
"96年5月","85.71","89.54",
"96年6月","86.24","89.33",
"96年7月","86.04","89.36",
"96年8月","87.18","88.63",
"96年9月","87.99","89.15",
"96年10月","89.86","89.99",
"96年11月","89.33","90.14",
"96年12月","88.26","91.01",
"97年","89.86","92.77",
"97年1月","87.75","91.47",
"97年2月","88.87","91.18",
"97年3月","87.91","92.29",
"97年4月","88.86","92.61",
"97年5月","88.90","92.71",
"97年6月","90.53","92.57",
"97年7月","91.04","93.19",
"97年8月","91.27","93.35",
"97年9月","90.72","93.83",
"97年10月","92.00","93.25",
"97年11月","91.05","93.31",
"97年12月","89.38","93.52",
"98年","89.07","92.97",
"98年1月","89.04","93.18",
"98年2月","87.68","93.97",
"98年3月","87.78","93.41",
"98年4月","88.45","93.74",
"98年5月","88.82","94.32",
"98年6月","88.73","93.21",
"98年7月","88.91","93.31",
"98年8月","90.52","93.43",
"98年9月","89.91","92.04",
