"統計期","行業別","總薪資"
"80年 1月","工業及服務業",28874
"80年 2月","工業及服務業",42399
"80年 3月","工業及服務業",23854
"80年 4月","工業及服務業",23829
"80年 5月","工業及服務業",24988
"80年 6月","工業及服務業",24924
"80年 7月","工業及服務業",25527
"80年 8月","工業及服務業",24893
"80年 9月","工業及服務業",25541
"80年 10月","工業及服務業",25113
"80年 11月","工業及服務業",24901
"80年 12月","工業及服務業",27847
"81年 1月","工業及服務業",48797
"81年 2月","工業及服務業",31210
"81年 3月","工業及服務業",26301
"81年 4月","工業及服務業",25954
"81年 5月","工業及服務業",27240
"81年 6月","工業及服務業",26842
"81年 7月","工業及服務業",27441
"81年 8月","工業及服務業",27460
"81年 9月","工業及服務業",27474
"81年 10月","工業及服務業",27217
"81年 11月","工業及服務業",27133
"81年 12月","工業及服務業",30381
"82年 1月","工業及服務業",58781
"82年 2月","工業及服務業",28351
"82年 3月","工業及服務業",27927
"82年 4月","工業及服務業",27958
"82年 5月","工業及服務業",28905
"82年 6月","工業及服務業",29785
"82年 7月","工業及服務業",29614
"82年 8月","工業及服務業",29026
"82年 9月","工業及服務業",30061
"82年 10月","工業及服務業",29118
"82年 11月","工業及服務業",29031
"82年 12月","工業及服務業",32078
"83年 1月","工業及服務業",46416
"83年 2月","工業及服務業",45400
"83年 3月","工業及服務業",29914
"83年 4月","工業及服務業",30062
"83年 5月","工業及服務業",30306
"83年 6月","工業及服務業",31204
"83年 7月","工業及服務業",31474
"83年 8月","工業及服務業",30995
"83年 9月","工業及服務業",31594
"83年 10月","工業及服務業",30666
"83年 11月","工業及服務業",30968
"83年 12月","工業及服務業",35076
"84年 1月","工業及服務業",66922
"84年 2月","工業及服務業",32295
"84年 3月","工業及服務業",31431
"84年 4月","工業及服務業",31355
"84年 5月","工業及服務業",32603
"84年 6月","工業及服務業",32288
"84年 7月","工業及服務業",32821
"84年 8月","工業及服務業",32869
"84年 9月","工業及服務業",32761
"84年 10月","工業及服務業",32049
"84年 11月","工業及服務業",31963
"84年 12月","工業及服務業",35145
"85年 1月","工業及服務業",40051
"85年 2月","工業及服務業",60728
"85年 3月","工業及服務業",33209
"85年 4月","工業及服務業",32872
"85年 5月","工業及服務業",33136
"85年 6月","工業及服務業",34075
"85年 7月","工業及服務業",34256
"85年 8月","工業及服務業",33660
"85年 9月","工業及服務業",34364
"85年 10月","工業及服務業",33594
"85年 11月","工業及服務業",33322
"85年 12月","工業及服務業",36387
"86年 1月","工業及服務業",58162
"86年 2月","工業及服務業",49204
"86年 3月","工業及服務業",34469
"86年 4月","工業及服務業",34686
"86年 5月","工業及服務業",35019
"86年 6月","工業及服務業",35666
"86年 7月","工業及服務業",36169
"86年 8月","工業及服務業",35150
"86年 9月","工業及服務業",35419
"86年 10月","工業及服務業",34774
"86年 11月","工業及服務業",34485
"86年 12月","工業及服務業",38565
"87年 1月","工業及服務業",76755
"87年 2月","工業及服務業",37384
"87年 3月","工業及服務業",35444
"87年 4月","工業及服務業",35596
"87年 5月","工業及服務業",36433
"87年 6月","工業及服務業",35564
"87年 7月","工業及服務業",36866
"87年 8月","工業及服務業",35713
"87年 9月","工業及服務業",36009
"87年 10月","工業及服務業",35437
"87年 11月","工業及服務業",34875
"87年 12月","工業及服務業",38909
"88年 1月","工業及服務業",48361
"88年 2月","工業及服務業",64535
"88年 3月","工業及服務業",36255
"88年 4月","工業及服務業",36385
"88年 5月","工業及服務業",37005
"88年 6月","工業及服務業",38061
"88年 7月","工業及服務業",37961
"88年 8月","工業及服務業",37847
"88年 9月","工業及服務業",37916
"88年 10月","工業及服務業",36751
"88年 11月","工業及服務業",36618
"88年 12月","工業及服務業",42087
"89年 1月","工業及服務業",66080
"89年 2月","工業及服務業",52127
"89年 3月","工業及服務業",37819
"89年 4月","工業及服務業",37561
"89年 5月","工業及服務業",37817
"89年 6月","工業及服務業",38827
"89年 7月","工業及服務業",38825
"89年 8月","工業及服務業",37896
"89年 9月","工業及服務業",38470
"89年 10月","工業及服務業",37722
"89年 11月","工業及服務業",36953
"89年 12月","工業及服務業",42018
"90年 1月","工業及服務業",76318
"90年 2月","工業及服務業",39113
"90年 3月","工業及服務業",38310
"90年 4月","工業及服務業",37474
"90年 5月","工業及服務業",37762
"90年 6月","工業及服務業",39322
"90年 7月","工業及服務業",38801
"90年 8月","工業及服務業",39665
"90年 9月","工業及服務業",38318
"90年 10月","工業及服務業",38665
"90年 11月","工業及服務業",37313
"90年 12月","工業及服務業",41355
"91年 1月","工業及服務業",53928
"91年 2月","工業及服務業",55848
"91年 3月","工業及服務業",38293
"91年 4月","工業及服務業",38656
"91年 5月","工業及服務業",38765
"91年 6月","工業及服務業",39135
"91年 7月","工業及服務業",38782
"91年 8月","工業及服務業",39421
"91年 9月","工業及服務業",39599
"91年 10月","工業及服務業",37501
"91年 11月","工業及服務業",37214
"91年 12月","工業及服務業",41612
"92年 1月","工業及服務業",73052
"92年 2月","工業及服務業",39404
"92年 3月","工業及服務業",37955
"92年 4月","工業及服務業",38312
"92年 5月","工業及服務業",38853
"92年 6月","工業及服務業",38339
"92年 7月","工業及服務業",38878
"92年 8月","工業及服務業",39697
"92年 9月","工業及服務業",40673
"92年 10月","工業及服務業",38295
"92年 11月","工業及服務業",38141
"92年 12月","工業及服務業",43426
"93年 1月","工業及服務業",75922
"93年 2月","工業及服務業",39578
"93年 3月","工業及服務業",38950
"93年 4月","工業及服務業",38739
"93年 5月","工業及服務業",38842
"93年 6月","工業及服務業",39954
"93年 7月","工業及服務業",39857
"93年 8月","工業及服務業",41079
"93年 9月","工業及服務業",40129
"93年 10月","工業及服務業",38735
"93年 11月","工業及服務業",38460
"93年 12月","工業及服務業",42703
"94年 1月","工業及服務業",65046
"94年 2月","工業及服務業",55615
"94年 3月","工業及服務業",39101
"94年 4月","工業及服務業",38799
"94年 5月","工業及服務業",38985
"94年 6月","工業及服務業",40011
"94年 7月","工業及服務業",39708
"94年 8月","工業及服務業",40947
"94年 9月","工業及服務業",40282
"94年 10月","工業及服務業",38555
"94年 11月","工業及服務業",38558
"94年 12月","工業及服務業",42701
"95年 1月","工業及服務業",82095
"95年 2月","工業及服務業",39976
"95年 3月","工業及服務業",39073
"95年 4月","工業及服務業",39425
"95年 5月","工業及服務業",40352
"95年 6月","工業及服務業",39566
"95年 7月","工業及服務業",39783
"95年 8月","工業及服務業",41257
"95年 9月","工業及服務業",39934
"95年 10月","工業及服務業",39581
"95年 11月","工業及服務業",38815
"95年 12月","工業及服務業",42479
"96年 1月","工業及服務業",48933
"96年 2月","工業及服務業",74818
"96年 3月","工業及服務業",39627
"96年 4月","工業及服務業",39466
"96年 5月","工業及服務業",40518
"96年 6月","工業及服務業",40852
"96年 7月","工業及服務業",41544
"96年 8月","工業及服務業",41493
"96年 9月","工業及服務業",42695
"96年 10月","工業及服務業",39756
"96年 11月","工業及服務業",39618
"96年 12月","工業及服務業",43982
"97年 1月","工業及服務業",65801
"97年 2月","工業及服務業",59666
"97年 3月","工業及服務業",40314
"97年 4月","工業及服務業",40236
"97年 5月","工業及服務業",40604
"97年 6月","工業及服務業",41231
"97年 7月","工業及服務業",42742
