項目別, ,銷售量,,,,,銷售值 (千元),,,,, 
 , ,(0920010)果蔬汁 (千公升),(0920910)碳酸飲料 (千公升),(0920930)運動飲料 (千公升),(0920940)咖啡飲料 (千公升),(0920950)茶類飲料 (千公升),(0920010)果蔬汁,(0920910)碳酸飲料,(0920930)運動飲料,(0920940)咖啡飲料,(0920950)茶類飲料, 
1982年,1月,"11,689","35,335",-,771,-,"257,570","625,321",-,"32,961",-, 
 ,2月,"17,865","31,819",-,834,-,"367,004","608,245",-,"35,669",-, 
 ,3月,"20,521","29,602",-,927,-,"446,628","584,401",-,"40,186",-, 
 ,4月,"18,480","34,934",-,888,-,"388,983","702,081",-,"38,380",-, 
 ,5月,"15,549","34,934",-,890,-,"472,986","734,256",-,"38,380",-, 
 ,6月,"11,862","38,393",-,858,-,"339,553","801,570",-,"37,027",-, 
 ,7月,"12,959","50,853",-,878,-,"386,639","1,034,076",-,"37,929",-, 
 ,8月,"15,419","50,318",-,857,-,"451,709","1,095,652",-,"37,027",-, 
 ,9月,"17,425","52,133",-,877,-,"498,898","1,123,395",-,"37,929",-, 
 ,10月,"12,783","40,094",-,856,-,"380,935","931,688",-,"37,027",-, 
 ,11月,"10,423","27,290",-,856,-,"302,052","624,204",-,"37,027",-, 
 ,12月,"6,346","17,771",-,967,-,"187,087","359,412",-,"41,995",-, 
1983年,1月,"5,802","21,557",-,490,-,"154,100","303,342",-,"21,253",-, 
 ,2月,"8,396","30,156",-,512,-,"204,186","1,108,292",-,"21,983",-, 
 ,3月,"12,806","24,652",-,661,-,"290,987","431,399",-,"28,413",-, 
 ,4月,"13,749","43,266",-,"1,023",-,"352,459","823,434",-,"43,774",-, 
 ,5月,"13,717","46,591",-,946,-,"379,483","845,859",-,"40,475",-, 
 ,6月,"17,633","49,878",-,982,-,"477,408","957,672",-,"42,039",-, 
 ,7月,"16,040","67,765",-,"1,016",-,"470,568","1,373,662",-,"43,404",-, 
 ,8月,"15,767","61,803",-,"1,024",-,"424,996","1,172,781",-,"43,350",-, 
 ,9月,"15,846","60,083",-,"1,147",-,"432,965","1,113,567",-,"48,458",-, 
 ,10月,"14,033","39,750",-,"1,059",-,"359,557","829,982",-,"44,722",-, 
 ,11月,"7,989","24,538",-,729,-,"208,792","497,955",-,"30,810",-, 
 ,12月,"6,676","16,684",-,663,-,"148,840","299,880",-,"27,996",-, 
1984年,1月,"7,939","27,920",-,533,-,"212,159","484,641",-,"22,407",-, 
 ,2月,"9,593","24,652",-,553,-,"270,630","516,937",-,"23,013",-, 
 ,3月,"14,764","21,614",-,658,-,"388,779","429,340",-,"27,363",-, 
 ,4月,"14,408","30,691",-,799,-,"340,255","618,126",-,"33,206",-, 
 ,5月,"13,057","31,589",-,871,-,"342,163","647,247",-,"36,205",-, 
 ,6月,"14,413","40,151",-,973,-,"381,906","907,970",-,"40,890",-, 
 ,7月,"17,744","43,381",-,"1,159",-,"451,504","986,624",-,"48,962",-, 
 ,8月,"17,273","35,335",-,"1,163",-,"453,872","711,647",-,"49,159",-, 
 ,9月,"16,428","33,921",-,"1,316",-,"424,560","653,677",-,"55,294",-, 
 ,10月,"11,641","32,067",-,"1,227",-,"310,279","599,116",-,"51,427",-, 
 ,11月,"8,944","17,161",-,"1,026",-,"242,242","351,596",-,"43,050",-, 
 ,12月,"8,320","14,430",-,954,-,"214,748","287,337",-,"40,068",-, 
1985年,1月,"9,974","15,747",-,635,-,"223,491","273,755",-,"26,642",-, 
 ,2月,"10,004","26,430",-,892,-,"239,526","539,426",-,"37,395",-, 
 ,3月,"16,884","22,359",-,"1,035",-,"341,942","498,130",-,"43,393",-, 
