"","Estimate","Std. Error","t value","Pr(>|t|)"
"alpha 1",1.23758391147589,0.0852998377595097,14.5086314813995,7.5492821112586e-45
"alpha 2",0.536826367785522,0.128629714868441,4.17342422265781,3.1654448724453e-05
"alpha 3",-0.299831555658228,0.0739132016812092,-4.05653589397215,5.2257423927385e-05
"alpha 4",0.694073762958811,0.0634957594375162,10.9310254591383,7.4388852105449e-27
"alpha 5",-1.16865248656199,0.220198879332538,-5.30725901105576,1.27236971740666e-07
"beta 1",-0.0909731199759311,0.00715624761074613,-12.7124052889564,2.62552952604855e-35
"beta 2",-0.0261742188745183,0.0107567867789132,-2.43327486288268,0.0150741927076989
"beta 3",0.0303137555779244,0.00625898091483514,4.84324141428108,1.40368176309716e-06
"beta 4",-0.0600153749693586,0.00518394325989808,-11.5771666394625,8.45678735028084e-30
"beta 5",0.146848958241884,0.0185181489109248,7.93000201846577,4.1329682507789e-15
"gamma 1 1",-0.00670444705952372,0.0247605482565807,-0.270771349246754,0.786602579980793
"gamma 1 2",-0.137189941067167,0.0230680472242162,-5.9471848541713,3.35795324451025e-09
"gamma 1 3",0.0165163071250318,0.0099177846797848,1.66532221239857,0.0960485091205863
"gamma 1 4",-0.0242075719077077,0.0195089325658628,-1.24084553708831,0.214848669707445
"gamma 1 5",0.151585652909364,0.0305573219458184,4.96069823062841,7.78880521080654e-07
"gamma 2 1",-0.137189941067158,0.0230680472242162,-5.94718485417092,3.35795324451799e-09
"gamma 2 2",-0.111179820971263,0.0359340043487194,-3.09400032048544,0.00200970280348258
"gamma 2 3",-0.0516508883312727,0.0116601496087018,-4.42969344859233,1.00913610285824e-05
"gamma 2 4",-0.008040898362162,0.0256759776968952,-0.313168147171834,0.754194619623379
"gamma 2 5",0.308061548731714,0.0302823685946081,10.1729674073964,1.39055283200618e-23
"gamma 3 1",0.0165163071249771,0.0099177846797848,1.66532221239304,0.0960485091216875
"gamma 3 2",-0.051650888331241,0.0116601496087018,-4.42969344858961,1.0091361028708e-05
"gamma 3 3",-0.0498180507533113,0.00724662921146247,-6.8746515517188,8.94522168011914e-12
"gamma 3 4",0.0599328970628568,0.00831959304747215,7.20382556224514,9.06172439124415e-13
"gamma 3 5",0.025019734896754,0.0140804734984116,1.77691005203599,0.075777115415567
"gamma 4 1",-0.0242075719077647,0.0195089325658628,-1.24084553709124,0.214848669706365
"gamma 4 2",-0.00804089836221863,0.0256759776968952,-0.313168147174039,0.754194619621704
"gamma 4 3",0.0599328970627858,0.00831959304747215,7.2038255622366,9.06172439179336e-13
"gamma 4 4",0.135248744465569,0.0293113785986335,4.61420618653107,4.26762499607366e-06
"gamma 4 5",-0.162933171258371,0.0195106383440865,-8.35099130971052,1.47044407308153e-16
"gamma 5 1",0.151585652909469,0.0305573219458214,4.96069823063138,7.78880521068934e-07
"gamma 5 2",0.30806154873189,0.0302823685945939,10.172967407407,1.39055283186431e-23
"gamma 5 3",0.0250197348967664,0.0140804734984115,1.77691005203688,0.0757771154154206
"gamma 5 4",-0.162933171258556,0.0195106383440885,-8.35099130971914,1.4704440729788e-16
"gamma 5 5",-0.32173376527946,0.061773396006497,-5.20829007434887,2.15878035654232e-07
