"","Estimate","Std. Error","t value","Pr(>|t|)"
"alpha 1",1.16408812695715,0.079180680203724,14.7016686894084,6.24132225448212e-46
"alpha 2",0.417706891684119,0.11596456134175,3.60202191817142,0.000325613609026049
"alpha 3",-0.26891501602423,0.0626674464355244,-4.29114366900052,1.88642171579553e-05
"alpha 4",0.759977382568136,0.0559354732409019,13.5866801250627,7.90010918963497e-40
"alpha 5",-1.07285738518517,0.192094250402972,-5.58505724629733,2.74992372758092e-08
"beta 1",-0.0845627585478604,0.00661888012460095,-12.7759918529962,1.25433996573983e-35
"beta 2",-0.0165794703581318,0.00965404931405662,-1.71735919496408,0.08611127298097
"beta 3",0.0278168309875913,0.00526901079475511,5.27932700674685,1.47845263643881e-07
"beta 4",-0.0653079738452418,0.00457155637157738,-14.2857199030246,1.30207022838472e-43
"beta 5",0.138633371763643,0.0161845848654776,8.56576630886306,2.52757972055497e-17
"gamma 1 1",0.0811187914308334,0.0182664941665901,4.44085168675672,9.5881377105527e-06
"gamma 1 2",-0.111692579933236,0.0165838321165354,-6.73502837874666,2.29443042831613e-11
"gamma 1 3",-0.0153820150481791,0.00655565225108979,-2.34637446573253,0.0190811370747358
"gamma 1 4",0.0309403821337179,0.0133494320684037,2.31773022066981,0.0205923248087137
"gamma 1 5",0.0150154214168438,0.017265425286252,0.869681526397165,0.384607748372894
"gamma 2 1",-0.111692579933282,0.0165838321165353,-6.73502837874942,2.29443042827375e-11
"gamma 2 2",-0.118703119590766,0.0276245771423258,-4.29701128017961,1.83775968434927e-05
"gamma 2 3",-0.0602699758668136,0.00856126348770418,-7.03984592383756,2.86951425842581e-12
"gamma 2 4",0.0168864682234877,0.0170283245578612,0.991669389792784,0.321512026102079
"gamma 2 5",0.273779207167316,0.0235764120479055,11.6124203551845,5.7879055263837e-30
"gamma 3 1",-0.0153820150483474,0.00655565225108942,-2.34637446575834,0.019081137073419
"gamma 3 2",-0.0602699758665871,0.00856126348770355,-7.03984592381163,2.8695142589434e-12
"gamma 3 3",-0.0372092640475438,0.00496766298565152,-7.49029556856377,1.14240056350054e-13
"gamma 3 4",0.0390433761859528,0.00586364659083909,6.65854866610672,3.81536470716308e-11
"gamma 3 5",0.0738178787765349,0.0111547472106294,6.61762004845735,4.99797596955003e-11
"gamma 4 1",0.0309403821338711,0.013349432068403,2.31773022068142,0.0205923248080811
"gamma 4 2",0.0168864682235513,0.0170283245578629,0.991669389796421,0.321512026100305
"gamma 4 3",0.0390433761859661,0.00586364659083898,6.6585486661091,3.81536470710308e-11
"gamma 4 4",0.170232010133838,0.0186669518676237,9.11943263908507,2.25120784887689e-19
"gamma 4 5",-0.257102236677226,0.0124365503576298,-20.6731150748322,3.81197426060403e-84
"gamma 5 1",0.0150154214169244,0.0172654252862533,0.869681526401766,0.384607748370379
"gamma 5 2",0.273779207167038,0.0235764120478971,11.6124203551769,5.787905526862e-30
"gamma 5 3",0.0738178787765704,0.0111547472106291,6.61762004846072,4.99797596943918e-11
"gamma 5 4",-0.257102236676996,0.0124365503576237,-20.6731150748239,3.81197426112063e-84
"gamma 5 5",-0.105510270683469,0.0367452350476649,-2.87140007531871,0.00414155502882252
