,Estimate,Std. Error,t value,Pr(>|t|)
alpha 1,1.23758385505148,0.0852998407629032,14.5086303090697,7.54939583424824e-45
alpha 2,0.536826362713212,0.128629717865901,4.17342408597106,3.16544675140886e-05
alpha 3,-0.299831753715859,0.0739132008317309,-4.05653862019112,5.22568206184375e-05
alpha 4,0.694073752768492,0.0634957601929629,10.9310251685972,7.43890734151367e-27
alpha 5,-1.16865221681732,0.220198890838514,-5.30725750873273,1.27238001496896e-07
beta 1,-0.0909731180636006,0.00715624785234142,-12.7124045925597,2.62555072401033e-35
beta 2,-0.0261742168391177,0.0107567870222047,-2.43327461862799,0.0150742028381215
beta 3,0.0303137722743189,0.00625898082188119,4.84324415379945,1.40366268806656e-06
beta 4,-0.0600153748364106,0.00518394327904387,-11.5771665710586,8.45679356471771e-30
beta 5,0.14684893746481,0.0185181498710935,7.93000048530973,4.13301730414265e-15
gamma 1 1,-0.00670444747692028,0.0247605479377449,-0.270771369590737,0.786602564335766
gamma 1 2,-0.137189971662992,0.0230680472148025,-5.94718618292747,3.35792659865438e-09
gamma 1 3,0.016516328617984,0.00991778448909108,1.66532441153071,0.0960480705337059
gamma 1 4,-0.0242075667779461,0.0195089325499186,-1.24084527515818,0.214848766460798
gamma 1 5,0.151585657299849,0.0305573213786131,4.96069846638922,7.78879590329043e-07
gamma 2 1,-0.137189971662997,0.0230680472148025,-5.94718618292767,3.35792659865038e-09
gamma 2 2,-0.111179790331926,0.0359340048543067,-3.09399942429744,0.0020097088368458
gamma 2 3,-0.0516508755732413,0.0116601501356872,-4.42969215423376,1.00914208412781e-05
gamma 2 4,-0.00804092979989671,0.0256759779466119,-0.313169368528678,0.754193691931565
gamma 2 5,0.308061567368006,0.0302823676645179,10.1729683352654,1.39054040339205e-23
gamma 3 1,0.0165163286179293,0.00991778448909108,1.6653244115252,0.0960480705348043
gamma 3 2,-0.0516508755731232,0.0116601501356872,-4.42969215422363,1.0091420841746e-05
gamma 3 3,-0.0498180747155219,0.00724663083266205,-6.87465332040673,8.94511395548326e-12
gamma 3 4,0.0599329225646723,0.0083195933342255,7.2038283792211,9.06154309684694e-13
gamma 3 5,0.0250196991060054,0.014080472782122,1.77690760055819,0.0757775189957141
gamma 4 1,-0.0242075667778691,0.0195089325499186,-1.24084527515424,0.214848766462256
gamma 4 2,-0.00804092979989658,0.0256759779466119,-0.313169368528673,0.75419369193157
gamma 4 3,0.0599329225646547,0.0083195933342255,7.20382837921898,9.06154309698294e-13
gamma 4 4,0.135248724604563,0.0293113787025745,4.61420549258174,4.26763906150851e-06
gamma 4 5,-0.162933150591452,0.0195106387762684,-8.35099006546288,1.47045890456729e-16
gamma 5 1,0.151585657299857,0.0305573213786063,4.96069846639059,7.78879590323642e-07
gamma 5 2,0.308061567367938,0.0302823676645286,10.1729683352596,1.39054040347041e-23
gamma 5 3,0.0250196991061246,0.0140804727821231,1.77690760056652,0.0757775189943431
gamma 5 4,-0.162933150591392,0.0195106387762727,-8.35099006545795,1.47045890462607e-16
gamma 5 5,-0.321733773182408,0.0617733918058317,-5.20829055645338,2.15877484441393e-07
